/	mainapp.views.index	index
/__debug__/render_panel/	debug_toolbar.views.render_panel	djdt:render_panel
/__debug__/sql_explain/	debug_toolbar.panels.sql.views.sql_explain	djdt:sql_explain
/__debug__/sql_profile/	debug_toolbar.panels.sql.views.sql_profile	djdt:sql_profile
/__debug__/sql_select/	debug_toolbar.panels.sql.views.sql_select	djdt:sql_select
/__debug__/template_source/	debug_toolbar.panels.templates.views.template_source	djdt:template_source
/admin-staff/	adminapp.views.index	admins:index
/admin-staff/admin-products-create/	adminapp.views.ProductCreateView	admins:admin_products_create
/admin-staff/admin-products-delete/<int:pk>/	adminapp.views.ProductDeleteView	admins:admin_products_delete
/admin-staff/admin-products-read/	adminapp.views.ProductListView	admins:admin_products_read
/admin-staff/admin-products-update/<int:pk>/	adminapp.views.ProductUpdateView	admins:admin_products_update
/admin-staff/admin-users-create/	adminapp.views.UserCreateView	admins:admin_users_create
/admin-staff/admin-users-delete/<int:pk>/	adminapp.views.UserDeleteView	admins:admin_users_delete
/admin-staff/admin-users-read/	adminapp.views.UserListView	admins:admin_users_read
/admin-staff/admin-users-update/<int:pk>/	adminapp.views.UserUpdateView	admins:admin_users_update
/admin/	django.contrib.admin.sites.index	admin:index
/admin/<app_label>/	django.contrib.admin.sites.app_index	admin:app_list
/admin/auth/group/	django.contrib.admin.options.changelist_view	admin:auth_group_changelist
/admin/auth/group/<path:object_id>/	django.views.generic.base.RedirectView
/admin/auth/group/<path:object_id>/change/	django.contrib.admin.options.change_view	admin:auth_group_change
/admin/auth/group/<path:object_id>/delete/	django.contrib.admin.options.delete_view	admin:auth_group_delete
/admin/auth/group/<path:object_id>/history/	django.contrib.admin.options.history_view	admin:auth_group_history
/admin/auth/group/add/	django.contrib.admin.options.add_view	admin:auth_group_add
/admin/auth/group/autocomplete/	django.contrib.admin.options.autocomplete_view	admin:auth_group_autocomplete
/admin/authapp/user/	django.contrib.admin.options.changelist_view	admin:authapp_user_changelist
/admin/authapp/user/<path:object_id>/	django.views.generic.base.RedirectView
/admin/authapp/user/<path:object_id>/change/	django.contrib.admin.options.change_view	admin:authapp_user_change
/admin/authapp/user/<path:object_id>/delete/	django.contrib.admin.options.delete_view	admin:authapp_user_delete
/admin/authapp/user/<path:object_id>/history/	django.contrib.admin.options.history_view	admin:authapp_user_history
/admin/authapp/user/add/	django.contrib.admin.options.add_view	admin:authapp_user_add
/admin/authapp/user/autocomplete/	django.contrib.admin.options.autocomplete_view	admin:authapp_user_autocomplete
/admin/basket/basket/	django.contrib.admin.options.changelist_view	admin:basket_basket_changelist
/admin/basket/basket/<path:object_id>/	django.views.generic.base.RedirectView
/admin/basket/basket/<path:object_id>/change/	django.contrib.admin.options.change_view	admin:basket_basket_change
/admin/basket/basket/<path:object_id>/delete/	django.contrib.admin.options.delete_view	admin:basket_basket_delete
/admin/basket/basket/<path:object_id>/history/	django.contrib.admin.options.history_view	admin:basket_basket_history
/admin/basket/basket/add/	django.contrib.admin.options.add_view	admin:basket_basket_add
/admin/basket/basket/autocomplete/	django.contrib.admin.options.autocomplete_view	admin:basket_basket_autocomplete
/admin/jsi18n/	django.contrib.admin.sites.i18n_javascript	admin:jsi18n
/admin/login/	django.contrib.admin.sites.login	admin:login
/admin/logout/	django.contrib.admin.sites.logout	admin:logout
/admin/mainapp/product/	django.contrib.admin.options.changelist_view	admin:mainapp_product_changelist
/admin/mainapp/product/<path:object_id>/	django.views.generic.base.RedirectView
/admin/mainapp/product/<path:object_id>/change/	django.contrib.admin.options.change_view	admin:mainapp_product_change
/admin/mainapp/product/<path:object_id>/delete/	django.contrib.admin.options.delete_view	admin:mainapp_product_delete
/admin/mainapp/product/<path:object_id>/history/	django.contrib.admin.options.history_view	admin:mainapp_product_history
/admin/mainapp/product/add/	django.contrib.admin.options.add_view	admin:mainapp_product_add
/admin/mainapp/product/autocomplete/	django.contrib.admin.options.autocomplete_view	admin:mainapp_product_autocomplete
/admin/mainapp/productcategory/	django.contrib.admin.options.changelist_view	admin:mainapp_productcategory_changelist
/admin/mainapp/productcategory/<path:object_id>/	django.views.generic.base.RedirectView
/admin/mainapp/productcategory/<path:object_id>/change/	django.contrib.admin.options.change_view	admin:mainapp_productcategory_change
/admin/mainapp/productcategory/<path:object_id>/delete/	django.contrib.admin.options.delete_view	admin:mainapp_productcategory_delete
